SampleDate,Location,N1_Concentration_Merged,N2_Concentration_Merged,N/PMMoV,PV_Concentration_Merged
2021-11-01,East Central Davis B,141.837835,109.101229,0.000291,431000.0
2021-11-01,Rancho Yolo/Research Park,22.0045613,22.0045613,0.0,948000.0
2021-11-01,Rancho Yolo: Pole Line north of 5th,0.0,0.0,0.0,138000.0
2021-11-01,Cantrill Drive,165.41832,209.541435,0.000257,729000.0
2021-11-01,Olive Drive,0.0,0.0,0.0,674000.0
2021-11-05,Old East Davis/Wildhorse,12.0164716,140.833191,5.0333333333333335e-05,0.0
2021-11-05,Far West Davis,0.0,0.0,0.0,0.0
2021-11-05,North Davis A,0.0,22.0120191,0.0,0.0
2021-11-05,North Davis B,0.0,0.0,0.0,0.0
2021-11-05,North Davis C,0.0,0.0,0.0,0.0
2021-11-05,North Davis D,0.0,107.945328,0.0,0.0
2021-11-05,The Cannery,0.0,10.9326911,0.0,0.0
2021-11-05,Far East Davis,0.0,0.0,0.0,0.0
2021-11-05,North Central Davis,10.6694198,85.3639221,0.0,0.0
2021-11-05,Central Davis,0.0,0.0,0.0,0.0
2021-11-05,East Central Davis A,0.0,75.9116078,0.0,0.0
2021-11-05,North J,0.0,0.0,0.0,0.0
2021-11-05,8th and J,0.0,0.0,0.0,0.0
2021-11-05,Rancho Yolo: East 8th Street,0.0,0.0,0.0,0.0
2021-11-05,Peregrine School (downstream),0.0,0.0,0.0,0.0
2021-11-05,Peregrine School (upstream),0.0,74.2881155,0.0,0.0
2021-11-05,Arroyo A,0.0,161.13718,0.0,0.0
2021-11-05,Arroyo B,0.0,0.0,0.0,0.0
2021-11-05,East Central Davis B,20.9205294,83.6890221,0.0,0.0
2021-11-05,Rancho Yolo/Research Park,0.0,0.0,0.0,0.0
2021-11-05,Rancho Yolo: Pole Line north of 5th,0.0,93.6162854,0.0,0.0
2021-11-05,Cantrill Drive,10.5988634,21.1980176,0.0,0.0
2021-11-05,Olive Drive,0.0,0.0,0.0,700000.0
2021-11-03,Old East Davis/Wildhorse,0.0,11.4303267,0.0,764000.0
2021-11-03,Far West Davis,0.0,0.0,0.0,566000.0
